国家和地区,确诊病例,死亡病例,治愈病例
美国,825306,45075,75673
西班牙,208389,21717,85915
意大利,183957,24648,51600
法国,159300,20829,39842
德国,148291,5033,95200
英国,130184,17378,640
土耳其,95591,2259,14918
伊朗,85996,5391,63113
俄罗斯,57999,513,4420
巴西,43592,2769,24325
比利时,41889,6262,9433
加拿大,39405,1915,13190
荷兰,34318,74,3929
瑞士,28268,1478,19400
葡萄牙,21982,785,1143
印度,20080,645,3975
秘鲁,17837,484,6982
爱尔兰,16040,730,9233
瑞典,16004,1937,550
奥地利,14925,510,11328
以色列,14326,187,4961
沙特阿拉伯,11631,109,1640
日本本土,11512,281,1356
智利,10832,147,4969
韩国,10694,238,8277
厄瓜多尔,10398,520,1207
新加坡,10141,11,839
波兰,10034,404,1513
巴基斯坦,9749,209,2156
罗马尼亚,9710,508,2406
墨西哥,9501,857,2627
丹麦,8108,384,5276
阿联酋,7755,46,1443
印度尼西亚,7418,635,913
白俄罗斯,7281,58,769
挪威,7241,182,32
卡塔尔,7141,10,689
捷克,7041,204,1800
菲律宾,6710,446,693
塞尔维亚,6630,125,870
乌克兰,6592,174,424
澳大利亚,6547,67,4124
马来西亚,5532,93,3452
多米尼加,5044,245,463
巴拿马,4821,141,231
哥伦比亚,4149,196,804
芬兰,4129,149,2000
孟加拉,3772,120,92
卢森堡,3618,78,670
埃及,3490,264,870
南非,3465,58,1055
摩洛哥,3377,149,398
阿根廷,3144,151,840
泰国,2826,49,2352
阿尔及利亚,2811,392,1152
摩尔多瓦,2614,73,560
希腊,2401,121,577
科威特,2248,13,443
匈牙利,2168,225,295
哈萨克斯坦,2047,19,505
巴林,1973,7,784
克罗地亚,1950,48,869
冰岛,1778,10,1417
乌兹别克斯坦,1692,7,424
阿曼,1614,8,238
伊拉克,1602,83,1096
爱沙尼亚,1559,44,184
阿塞拜疆,1518,20,907
亚美尼亚,1473,24,633
新西兰,1451,14,1036
立陶宛,1370,38,357
波黑,1368,53,460
斯洛文尼亚,1353,79,205
斯洛伐克,1244,14,284
北马其顿,1231,55,224
阿富汗,1176,40,166
喀麦隆,1163,43,331
加纳,1154,9,99
古巴,1137,38,309
保加利亚,1015,47,174
吉布提,945,2,112
科特迪瓦,916,13,303
突尼斯,901,38,170
塞浦路斯,784,12,98
尼日利亚,782,25,197
拉脱维亚,761,11,133
安道尔,717,37,282
钻石号邮轮,712,13,644
几内亚,688,6,127
黎巴嫩,682,22,108
哥斯达黎加,669,6,150
尼日尔,657,20,127
阿尔巴尼亚,634,27,356
吉尔吉斯斯坦,612,7,254
玻利维亚,609,37,44
布基纳法索,600,38,362
乌拉圭,543,12,324
洪都拉斯,510,46,30
圣马力诺,476,40,62
巴勒斯坦,474,4,71
马耳他,444,3,165
塞内加尔,442,6,253
约旦,428,7,297
格鲁吉亚,411,5,98
刚果（金）,359,25,45
毛里求斯,328,9,243
斯里兰卡,321,7,104
危地马拉,316,8,24
黑山,314,5,101
肯尼亚,296,14,74
委内瑞拉,288,10,122
索马里,286,8,4
坦桑尼亚,284,10,11
越南,268,0,223
马里,258,14,57
萨尔瓦多,237,7,63
牙买加,233,6,27
巴拉圭,213,9,62
刚果（布）,165,6,16
加蓬,156,1,16
卢旺达,150,0,84
苏丹,140,13,8
文莱,138,1,117
柬埔寨,122,0,110
缅甸,121,5,7
马达加斯加,121,0,52
埃塞俄比亚,116,3,21
特立尼达和多巴哥,115,8,28
利比里亚,101,8,7
摩纳哥,94,3,26
多哥,86,6,56
马尔代夫,86,0,16
赤道几内亚,83,0,7
列支敦士登公国,81,1,55
巴巴多斯,75,5,25
赞比亚,74,3,35
佛得角,68,1,1
圭亚那,66,7,9
巴哈马,65,9,12
乌干达,61,0,41
利比亚,59,1,15
海地,58,4,2
贝宁,54,1,27
塞拉利昂,50,0,6
几内亚比绍,50,0,3
尼泊尔,45,0,7
叙利亚,42,3,6
厄立特里亚,39,0,6
莫桑比克,39,0,8
马提尼克岛,37,1,0
蒙古,35,0,8
乍得,33,0,8
斯威士兰,31,1,8
津巴布韦,28,3,2
安提瓜和巴布达,24,3,7
安哥拉,24,2,6
东帝汶,23,0,1
马拉维,23,2,3
博茨瓦纳,20,1,0
老挝,19,0,4
斐济,18,0,8
伯利兹,18,2,2
纳米比亚,16,0,6
多米尼克,16,0,9
圣卢西亚,15,0,13
圣基茨和尼维斯,15,0,0
中非共和国,14,0,10
格林纳达,14,0,6
圣文森特和格林纳丁斯,13,0,3
布隆迪,11,1,4
塞舌尔,11,0,5
尼加拉瓜,10,2,7
冈比亚,10,1,2
苏里南,10,1,6
梵蒂冈,9,0,2
巴布亚新几内亚,8,0,0
毛里塔尼亚,7,1,6
不丹,6,0,2
也门,1,0,0
